experiment_id,run_number,policy,domain,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
13,13,"us_control","madamasr.com",15,"madamasr.com_15",1616229387006,240,"3/20/2021, 4:36:27 AM","[""172.27.64.1""]","success",1,"[""104.22.17.135"",""104.22.16.135"",""172.67.5.33""]","success",1,"[""104.22.16.135"",""104.22.17.135"",""172.67.5.33""]","[""104.22.17.135"",""104.22.16.135"",""172.67.5.33""]",1,"success"
14,14,"us_control","madamasr.com",16,"madamasr.com_16",1616229462552,240,"3/20/2021, 4:37:42 AM","[""172.27.64.1""]","success",1,"[""104.22.17.135"",""104.22.16.135"",""172.67.5.33""]","success",1,"[""104.22.16.135"",""104.22.17.135"",""172.67.5.33""]","[""104.22.17.135"",""104.22.16.135"",""172.67.5.33""]",1,"success"
15,15,"us_control","madamasr.com",17,"madamasr.com_17",1616229506952,240,"3/20/2021, 4:38:26 AM","[""172.27.64.1""]","success",1,"[""104.22.17.135"",""104.22.16.135"",""172.67.5.33""]","success",1,"[""104.22.17.135"",""172.67.5.33"",""104.22.16.135""]","[""104.22.17.135"",""104.22.16.135"",""172.67.5.33""]",1,"success"
16,16,"us_control","madamasr.com",18,"madamasr.com_18",1616232865205,240,"3/20/2021, 5:34:25 AM","[""172.27.64.1""]","success",1,"[""172.67.5.33"",""104.22.17.135"",""104.22.16.135""]","success",1,"[""172.67.5.33"",""104.22.16.135"",""104.22.17.135""]","[""172.67.5.33"",""104.22.17.135"",""104.22.16.135""]",1,"success"
17,17,"us_control","madamasr.com",19,"madamasr.com_19",1616233002082,240,"3/20/2021, 5:36:42 AM","[""172.27.64.1""]","success",1,"[""172.67.5.33"",""104.22.17.135"",""104.22.16.135""]","success",1,"[""172.67.5.33"",""104.22.17.135"",""104.22.16.135""]","[""172.67.5.33"",""104.22.17.135"",""104.22.16.135""]",1,"success"
18,18,"us_control","madamasr.com",20,"madamasr.com_20",1616233560663,240,"3/20/2021, 5:46:00 AM","[""172.27.64.1""]","success",1,"[""172.67.5.33"",""104.22.17.135"",""104.22.16.135""]","success",1,"[""104.22.16.135"",""104.22.17.135"",""172.67.5.33""]","[""172.67.5.33"",""104.22.17.135"",""104.22.16.135""]",1,"success"
21,19,"us_control","madamasr.com",21,"madamasr.com_21",1616233837772,240,"3/20/2021, 5:50:37 AM","[""172.27.64.1""]","success",1,"[""172.67.5.33"",""104.22.17.135"",""104.22.16.135""]","success",1,"[""172.67.5.33"",""104.22.17.135"",""104.22.16.135""]","[""172.67.5.33"",""104.22.17.135"",""104.22.16.135""]",1,"success"
22,19,"us_control","aljazeera.net",1,"aljazeera.net_1",1616233851375,240,"3/20/2021, 5:50:51 AM","[""172.27.64.1""]","success",1,"[""13.48.205.10"",""13.53.128.5"",""13.49.103.61""]","success",1,"[""3.13.128.62"",""3.137.85.135"",""3.13.222.135""]","[""13.48.205.10"",""13.53.128.5"",""13.49.103.61"",""3.13.128.62"",""3.137.85.135"",""3.13.222.135""]",1,"success"
23,19,"us_control","torproject.org",1,"torproject.org_1",1616233863010,240,"3/20/2021, 5:51:03 AM","[""172.27.64.1""]","success",1,"[""116.202.120.166"",""116.202.120.165"",""38.229.82.25"",""95.216.163.36""]","success",1,"[""38.229.82.25"",""116.202.120.165"",""95.216.163.36"",""116.202.120.166""]","[""116.202.120.166"",""116.202.120.165"",""38.229.82.25"",""95.216.163.36""]",1,"success"
29,22,"us_control","6april.org","http://6april.org",0,"6april.org_0",1616296222782,240,"3/20/2021, 11:10:22 PM","[""172.27.64.1""]","success",1,"[""209.99.64.53""]","success",1,"[""209.99.64.52""]","[""209.99.64.53"",""209.99.64.52""]",1,"success"
30,22,"us_control","ahmedgamalziada.blogspot.com.eg","http://ahmedgamalziada.blogspot.com.eg",0,"ahmedgamalziada.blogspot.com.eg_0",1616296241616,240,"3/20/2021, 11:10:41 PM","[""172.27.64.1""]","success",1,"[""142.250.80.1""]","success",1,"[""172.217.11.33""]","[""142.250.80.1"",""172.217.11.33""]",1,"success"
31,22,"us_control","akhbaralaalam.net","http://akhbaralaalam.net",0,"akhbaralaalam.net_0",1616296250827,240,"3/20/2021, 11:10:50 PM","[""172.27.64.1""]","success",1,"[""104.21.38.111"",""172.67.222.67""]","success",1,"[""172.67.222.67"",""104.21.38.111""]","[""104.21.38.111"",""172.67.222.67""]",1,"success"
32,22,"us_control","akhbaralsabah.com","http://akhbaralsabah.com",0,"akhbaralsabah.com_0",1616296267887,240,"3/20/2021, 11:11:07 PM","[""172.27.64.1""]","success",1,"[""217.160.0.128""]","success",1,"[""217.160.0.128""]","[""217.160.0.128""]",1,"success"
33,22,"us_control","akhbarturkiya.com","http://akhbarturkiya.com",0,"akhbarturkiya.com_0",1616296276802,240,"3/20/2021, 11:11:16 PM","[""172.27.64.1""]","success",1,"[""104.21.62.94"",""172.67.222.117""]","success",1,"[""104.21.62.94"",""172.67.222.117""]","[""104.21.62.94"",""172.67.222.117""]",1,"success"
34,22,"us_control","alalam.ir","http://alalam.ir",0,"alalam.ir_0",1616296293875,240,"3/20/2021, 11:11:33 PM","[""172.27.64.1""]","success",1,"[""142.54.186.50""]","success",1,"[""142.54.186.50""]","[""142.54.186.50""]",1,"success"
35,22,"us_control","alarab.qa","http://alarab.qa",0,"alarab.qa_0",1616296304631,240,"3/20/2021, 11:11:44 PM","[""172.27.64.1""]","success",1,"[""104.26.3.15"",""104.26.2.15"",""172.67.70.195""]","success",1,"[""172.67.70.195"",""104.26.3.15"",""104.26.2.15""]","[""104.26.3.15"",""104.26.2.15"",""172.67.70.195""]",1,"success"
36,22,"us_control","alaraby.tv","http://alaraby.tv",0,"alaraby.tv_0",1616296314780,240,"3/20/2021, 11:11:54 PM","[""172.27.64.1""]","success",1,"[""151.101.194.216"",""151.101.130.216"",""151.101.2.216"",""151.101.66.216""]","success",1,"[""151.101.66.216"",""151.101.194.216"",""151.101.2.216"",""151.101.130.216""]","[""151.101.194.216"",""151.101.130.216"",""151.101.2.216"",""151.101.66.216""]",1,"success"
37,22,"us_control","albedaiah.com","http://albedaiah.com",0,"albedaiah.com_0",1616296331468,240,"3/20/2021, 11:12:11 PM","[""172.27.64.1""]","success",1,"[""104.237.131.251""]","success",1,"[""104.237.131.251""]","[""104.237.131.251""]",1,"success"
38,22,"us_control","al-gornal.com","http://al-gornal.com",0,"al-gornal.com_0",1616296348060,240,"3/20/2021, 11:12:28 PM","[""172.27.64.1""]","success",1,"[""160.153.138.71""]","success",1,"[""160.153.138.71""]","[""160.153.138.71""]",1,"success"
39,22,"us_control","alkessa.com","http://alkessa.com",0,"alkessa.com_0",1616296376560,240,"3/20/2021, 11:12:56 PM","[""172.27.64.1""]","success",1,"[""104.21.20.159"",""172.67.193.47""]","success",1,"[""104.21.20.159"",""172.67.193.47""]","[""104.21.20.159"",""172.67.193.47""]",1,"success"
40,22,"us_control","almanassa.com","http://almanassa.com",0,"almanassa.com_0",1616296391604,240,"3/20/2021, 11:13:11 PM","[""172.27.64.1""]","success",1,"[""83.68.31.235""]","success",1,"[""83.68.31.235""]","[""83.68.31.235""]",1,"success"
41,22,"us_control","almesryoon.com","http://almesryoon.com",0,"almesryoon.com_0",1616296410353,240,"3/20/2021, 11:13:30 PM","[""172.27.64.1""]","success",1,"[""104.21.52.44"",""172.67.195.19""]","success",1,"[""104.21.52.44"",""172.67.195.19""]","[""104.21.52.44"",""172.67.195.19""]",1,"success"
42,22,"us_control","al-sharq.com","http://al-sharq.com",0,"al-sharq.com_0",1616296422085,240,"3/20/2021, 11:13:42 PM","[""172.27.64.1""]","success",1,"[""104.22.76.104"",""172.67.26.243"",""104.22.77.104""]","success",1,"[""104.22.77.104"",""104.22.76.104"",""172.67.26.243""]","[""104.22.76.104"",""172.67.26.243"",""104.22.77.104""]",1,"success"
43,22,"us_control","amlalommah.net","http://amlalommah.net",0,"amlalommah.net_0",1616296431618,240,"3/20/2021, 11:13:51 PM","[""172.27.64.1""]","success",1,"[""104.21.62.252"",""172.67.141.61""]","success",1,"[""104.21.62.252"",""172.67.141.61""]","[""104.21.62.252"",""172.67.141.61""]",1,"success"
44,22,"us_control","anonymizer.ru","http://anonymizer.ru",0,"anonymizer.ru_0",1616296439838,240,"3/20/2021, 11:13:59 PM","[""172.27.64.1""]","success",1,"[""83.69.224.215""]","success",1,"[""83.69.224.215""]","[""83.69.224.215""]",1,"success"
45,22,"us_control","anonymizer.secuser.com","http://anonymizer.secuser.com",0,"anonymizer.secuser.com_0",1616296463950,240,"3/20/2021, 11:14:23 PM","[""172.27.64.1""]","success",1,"[""155.133.138.12""]","success",1,"[""155.133.138.12""]","[""155.133.138.12""]",1,"success"
46,22,"us_control","ansarportsaed.com","http://ansarportsaed.com",0,"ansarportsaed.com_0",1616296478074,240,"3/20/2021, 11:14:38 PM","[""172.27.64.1""]","success",1,"[""34.102.136.180""]","success",1,"[""34.102.136.180""]","[""34.102.136.180""]",1,"success"
47,22,"us_control","arabi21.com","http://arabi21.com",0,"arabi21.com_0",1616296494488,240,"3/20/2021, 11:14:54 PM","[""172.27.64.1""]","success",1,"[""104.25.135.112"",""104.25.136.112"",""172.67.96.169""]","success",1,"[""104.25.136.112"",""104.25.135.112"",""172.67.96.169""]","[""104.25.135.112"",""104.25.136.112"",""172.67.96.169""]",1,"success"
48,22,"us_control","arab-turkey.com","http://arab-turkey.com",0,"arab-turkey.com_0",1616296510401,240,"3/20/2021, 11:15:10 PM","[""172.27.64.1""]","success",1,"[""212.129.37.98""]","success",1,"[""212.129.37.98""]","[""212.129.37.98""]",1,"success"
49,22,"us_control","astrill.com","http://astrill.com",0,"astrill.com_0",1616296525741,240,"3/20/2021, 11:15:25 PM","[""172.27.64.1""]","success",1,"[""173.230.139.136"",""69.164.218.12""]","success",1,"[""173.230.139.136"",""69.164.218.12""]","[""173.230.139.136"",""69.164.218.12""]",1,"success"
50,22,"us_control","balkans.aljazeera.net","http://balkans.aljazeera.net",0,"balkans.aljazeera.net_0",1616296537094,240,"3/20/2021, 11:15:37 PM","[""172.27.64.1""]","success",1,"[""104.104.111.91""]","success",1,"[""104.104.111.91""]","[""104.104.111.91""]",1,"success"
51,22,"us_control","blogs.aljazeera.net","http://blogs.aljazeera.net",0,"blogs.aljazeera.net_0",1616296549052,240,"3/20/2021, 11:15:49 PM","[""172.27.64.1""]","success",1,"[""104.104.111.91""]","success",1,"[""104.104.111.91""]","[""104.104.111.91""]",1,"success"
52,22,"us_control","cairoportal.com","http://cairoportal.com",0,"cairoportal.com_0",1616296566854,240,"3/20/2021, 11:16:06 PM","[""172.27.64.1""]","success",1,"[""178.33.50.89""]","success",1,"[""178.33.50.89""]","[""178.33.50.89""]",0,"Navigation failed because browser has disconnected!"
53,22,"us_control","cyberghostvpn.com","http://cyberghostvpn.com",0,"cyberghostvpn.com_0",1616296572818,240,"3/20/2021, 11:16:12 PM","[""172.27.64.1""]","success",1,"[""54.247.96.113""]","success",1,"[""54.247.96.113""]","[""54.247.96.113""]",1,"success"
54,22,"us_control","dailynewsegypt.com","http://dailynewsegypt.com",0,"dailynewsegypt.com_0",1616296585065,240,"3/20/2021, 11:16:25 PM","[""172.27.64.1""]","success",1,"[""151.139.243.1""]","success",1,"[""151.139.243.1""]","[""151.139.243.1""]",1,"success"
55,22,"us_control","doc.aljazeera.net","http://doc.aljazeera.net",0,"doc.aljazeera.net_0",1616296597443,240,"3/20/2021, 11:16:37 PM","[""172.27.64.1""]","success",1,"[""104.104.111.91""]","success",1,"[""104.104.111.91""]","[""104.104.111.91""]",1,"success"
29,22,"us_control","elbehira.net","http://elbehira.net",0,"elbehira.net_0",1616296888819,240,"3/20/2021, 11:21:28 PM","[""172.27.64.1""]","queryA ENOTFOUND elbehira.net",0,"[]","queryA ENOTFOUND elbehira.net",0,"[]","[]",0,"net::ERR_NAME_NOT_RESOLVED at http://elbehira.net"
30,22,"us_control","alalam.ir","http://alalam.ir",0,"alalam.ir_0",1616296892908,240,"3/20/2021, 11:21:32 PM","[""172.27.64.1""]","success",1,"[""142.54.186.50""]","success",1,"[""142.54.186.50""]","[""142.54.186.50""]",1,"success"
31,22,"us_control","kh-press.com","http://kh-press.com",0,"kh-press.com_0",1616296901635,240,"3/20/2021, 11:21:41 PM","[""172.27.64.1""]","queryA ENOTFOUND kh-press.com",0,"[]","queryA ENOTFOUND kh-press.com",0,"[]","[]",0,"net::ERR_NAME_NOT_RESOLVED at http://kh-press.com"
32,22,"us_control","madaad.net","http://madaad.net",0,"madaad.net_0",1616296906009,240,"3/20/2021, 11:21:46 PM","[""172.27.64.1""]","queryA ENOTFOUND madaad.net",0,"[]","queryA ENOTFOUND madaad.net",0,"[]","[]",0,"net::ERR_NAME_NOT_RESOLVED at http://madaad.net"
33,22,"us_control","torproject.org","http://torproject.org",3,"torproject.org_3",1616296910101,240,"3/20/2021, 11:21:50 PM","[""172.27.64.1""]","success",1,"[""116.202.120.166"",""95.216.163.36"",""116.202.120.165"",""38.229.82.25""]","success",1,"[""116.202.120.166"",""95.216.163.36"",""116.202.120.165"",""38.229.82.25""]","[""116.202.120.166"",""95.216.163.36"",""116.202.120.165"",""38.229.82.25""]",1,"success"
34,22,"us_control","4proxy.de","http://www.4proxy.de",0,"4proxy.de_0",1616296927777,240,"3/20/2021, 11:22:07 PM","[""172.27.64.1""]","success",1,"[""66.115.166.233""]","success",1,"[""66.115.166.233""]","[""66.115.166.233""]",0,"net::ERR_NAME_NOT_RESOLVED at http://www.4proxy.de"
35,22,"us_control","5proxy.space","http://www.5proxy.space",0,"5proxy.space_0",1616296943230,240,"3/20/2021, 11:22:23 PM","[""172.27.64.1""]","queryA ENOTFOUND 5proxy.space",0,"[]","queryA ENOTFOUND 5proxy.space",0,"[]","[]",0,"net::ERR_NAME_NOT_RESOLVED at http://www.5proxy.space"
36,22,"us_control","66proxy.pw","http://www.66proxy.pw",0,"66proxy.pw_0",1616296958586,240,"3/20/2021, 11:22:38 PM","[""172.27.64.1""]","queryA ENOTFOUND 66proxy.pw",0,"[]","queryA ENOTFOUND 66proxy.pw",0,"[]","[]",0,"net::ERR_NAME_NOT_RESOLVED at http://www.66proxy.pw"
37,22,"us_control","anonym.to","http://www.anonym.to",0,"anonym.to_0",1616296963228,240,"3/20/2021, 11:22:43 PM","[""172.27.64.1""]","success",1,"[""188.166.89.47""]","success",1,"[""188.166.89.47""]","[""188.166.89.47""]",0,"net::ERR_CERT_COMMON_NAME_INVALID at http://www.anonym.to"
38,23,"us_control","elbehira.net","http://elbehira.net",1,"elbehira.net_1",1616297081507,240,"3/20/2021, 11:24:41 PM","[""172.27.64.1""]","queryA ENOTFOUND elbehira.net",0,"[]","queryA ENOTFOUND elbehira.net",0,"[]","[]",0,"net::ERR_NAME_NOT_RESOLVED at http://elbehira.net"
39,23,"us_control","alalam.ir","http://alalam.ir",1,"alalam.ir_1",1616297096019,240,"3/20/2021, 11:24:56 PM","[""172.27.64.1""]","success",1,"[""142.54.186.50""]","success",1,"[""142.54.186.50""]","[""142.54.186.50""]",1,"success"
40,23,"us_control","kh-press.com","http://kh-press.com",1,"kh-press.com_1",1616297111668,240,"3/20/2021, 11:25:11 PM","[""172.27.64.1""]","queryA ENOTFOUND kh-press.com",0,"[]","queryA ENOTFOUND kh-press.com",0,"[]","[]",0,"net::ERR_NAME_NOT_RESOLVED at http://kh-press.com"
41,23,"us_control","madaad.net","http://madaad.net",1,"madaad.net_1",1616297125038,240,"3/20/2021, 11:25:25 PM","[""172.27.64.1""]","queryA ENOTFOUND madaad.net",0,"[]","queryA ENOTFOUND madaad.net",0,"[]","[]",0,"net::ERR_NAME_NOT_RESOLVED at http://madaad.net"
42,23,"us_control","torproject.org","http://torproject.org",4,"torproject.org_4",1616297135791,240,"3/20/2021, 11:25:35 PM","[""172.27.64.1""]","success",1,"[""116.202.120.166"",""116.202.120.165"",""38.229.82.25"",""95.216.163.36""]","success",1,"[""116.202.120.166"",""116.202.120.165"",""95.216.163.36"",""38.229.82.25""]","[""116.202.120.166"",""116.202.120.165"",""38.229.82.25"",""95.216.163.36""]",1,"success"
43,23,"us_control","4proxy.de","http://www.4proxy.de",1,"4proxy.de_1",1616297148925,240,"3/20/2021, 11:25:48 PM","[""172.27.64.1""]","success",1,"[""66.115.166.233""]","success",1,"[""66.115.166.233""]","[""66.115.166.233""]",0,"net::ERR_CERT_DATE_INVALID at http://www.4proxy.de"
44,23,"us_control","5proxy.space","http://www.5proxy.space",1,"5proxy.space_1",1616297160267,240,"3/20/2021, 11:26:00 PM","[""172.27.64.1""]","queryA ENOTFOUND 5proxy.space",0,"[]","queryA ENOTFOUND 5proxy.space",0,"[]","[]",0,"net::ERR_NAME_NOT_RESOLVED at http://www.5proxy.space"
45,23,"us_control","66proxy.pw","http://www.66proxy.pw",1,"66proxy.pw_1",1616297172119,240,"3/20/2021, 11:26:12 PM","[""172.27.64.1""]","queryA ENOTFOUND 66proxy.pw",0,"[]","queryA ENOTFOUND 66proxy.pw",0,"[]","[]",0,"net::ERR_NAME_NOT_RESOLVED at http://www.66proxy.pw"
46,23,"us_control","anonym.to","http://www.anonym.to",1,"anonym.to_1",1616297182695,240,"3/20/2021, 11:26:22 PM","[""172.27.64.1""]","success",1,"[""188.166.89.47""]","success",1,"[""188.166.89.47""]","[""188.166.89.47""]",0,"net::ERR_CERT_COMMON_NAME_INVALID at http://www.anonym.to"
